locality,property_type,area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,furnishing,facing,gym,swimming_pool,security,power_backup,lift,price
Saroor Nagar,Apartment,1983,3,2,2,0,2,15,1,Fully Furnished,East,1,1,1,1,1,14600000
Uppal Kalan,Apartment,1350,3,2,2,0,4,12,1,Fully Furnished,East,1,1,1,1,1,8503000
Rajendra Nagar,Apartment,1980,3,2,2,0,8,12,1,Fully Furnished,East,1,1,1,1,1,11800000
Yapral,Apartment,1910,3,2,2,4,9,12,1,Fully Furnished,West,1,1,1,1,1,11400000
Kompally,Apartment,1682,3,2,2,4,21,24,1,Semi-Furnished,South,0,0,1,1,1,7569000
Patighanpur,Villa,6500,4,3,2,0,1,2,2,Fully Furnished,North,1,1,1,1,0,97400000
Tellapur,Apartment,2115,3,2,2,0,5,10,1,Fully Furnished,North-West,1,1,1,1,1,15400000
Sainikpuri,Apartment,1200,3,2,2,4,9,12,1,Semi-Furnished,West,1,0,1,1,1,7067000
Chandanagar,Apartment,1785,3,2,2,0,9,10,1,Fully Furnished,South,1,1,1,1,1,14900000
Chandanagar,Apartment,1600,3,2,2,0,1,10,1,Fully Furnished,North-East,1,1,1,1,1,13400000
Kollur,Villa,3888,4,3,2,0,0,1,2,Fully Furnished,North,1,1,1,1,0,43300000
Kollur,Villa,4455,4,3,2,0,0,2,2,Fully Furnished,West,1,1,1,1,0,49600000
Kollur,Villa,5111,5,4,2,0,0,2,2,Fully Furnished,South,1,1,1,1,0,56900000
Bolarum,Apartment,1240,2,1,2,4,3,10,1,Semi-Furnished,East,0,0,1,1,1,6076000
Bolarum,Apartment,1601,3,2,2,4,3,15,1,Semi-Furnished,West,0,0,1,1,1,7841000
Bolarum,Apartment,1400,3,2,2,4,11,15,1,Semi-Furnished,North,0,0,1,1,1,6861000
Bolarum,Apartment,1200,2,1,2,4,2,7,1,Semi-Furnished,North,0,0,1,1,1,5880000
Bolarum,Apartment,1570,3,2,2,4,1,7,1,Semi-Furnished,East,0,0,1,1,1,7693000
Bolarum,Apartment,1581,3,2,2,4,2,15,1,Semi-Furnished,North-West,0,0,1,1,1,7743000
Bolarum,Apartment,1321,3,2,2,4,6,7,1,Semi-Furnished,South,1,0,1,1,1,6469000
Bolarum,Apartment,1150,2,1,2,4,3,10,1,Semi-Furnished,North,0,0,1,1,1,5636000
Bolarum,Apartment,1180,2,1,2,4,6,12,1,Semi-Furnished,North-East,0,0,1,1,1,5783000
Bolarum,Apartment,1100,2,1,2,4,1,20,1,Semi-Furnished,West,0,0,1,1,1,5390000
Bolarum,Apartment,1170,2,1,2,4,3,12,1,Semi-Furnished,North-West,1,0,1,1,1,5734000
Kollur,Apartment,1430,3,2,2,0,10,15,1,Fully Furnished,North,1,1,1,1,1,8578000
Kollur,Apartment,1775,3,2,2,0,7,10,1,Fully Furnished,East,1,1,1,1,1,10600000
Kollur,Apartment,1295,2,1,2,0,3,5,1,Semi-Furnished,South,1,0,1,1,1,7768000
Mallampet,Apartment,1595,3,2,2,0,10,12,1,Semi-Furnished,North,0,0,1,1,1,7975000
Mallampet,Apartment,1265,2,1,2,0,3,12,1,Semi-Furnished,South,1,0,1,1,1,6325000
Bachupally,Apartment,1210,2,1,2,0,3,5,1,Semi-Furnished,North-West,0,0,1,1,1,6776000
Bachupally,Apartment,1180,2,1,2,0,4,12,1,Semi-Furnished,South,1,0,1,1,1,6606999
Bachupally,Apartment,1235,2,1,2,0,7,20,1,Semi-Furnished,North,0,0,1,1,1,6916000
Bachupally,Apartment,1490,3,2,2,0,11,12,1,Fully Furnished,North-East,1,1,1,1,1,8343000
Jeedimetla,Apartment,1830,3,2,2,4,7,10,1,Fully Furnished,North,1,1,1,1,1,10800000
Jeedimetla,Apartment,1830,3,2,2,4,6,10,1,Fully Furnished,West,1,1,1,1,1,10800000
Jeedimetla,Apartment,2080,3,2,2,4,10,20,1,Fully Furnished,North-East,1,1,1,1,1,12300000
Jeedimetla,Apartment,2080,3,2,2,4,6,20,1,Fully Furnished,East,1,1,1,1,1,12300000
Jeedimetla,Apartment,2495,3,2,2,4,4,12,1,Fully Furnished,South,1,1,1,1,1,14800000
Jeedimetla,Apartment,2495,3,2,2,4,11,20,1,Fully Furnished,North-East,1,1,1,1,1,14800000
Jeedimetla,Apartment,3030,4,3,2,4,7,10,1,Fully Furnished,South,1,1,1,1,1,18000000
Jeedimetla,Apartment,3030,4,3,2,4,7,20,1,Fully Furnished,South,1,1,1,1,1,18000000
Jeedimetla,Apartment,1915,3,2,2,4,1,20,1,Fully Furnished,South,1,1,1,1,1,11300000
Jeedimetla,Apartment,1915,3,2,2,4,9,10,1,Fully Furnished,West,1,1,1,1,1,11300000
Jeedimetla,Apartment,2590,3,2,2,4,9,20,1,Fully Furnished,North-East,1,1,1,1,1,15400000
Jeedimetla,Apartment,2590,3,2,2,4,6,10,1,Fully Furnished,East,1,1,1,1,1,15400000
Jeedimetla,Apartment,3150,4,3,2,4,9,12,1,Fully Furnished,East,1,1,1,1,1,18700000
Jeedimetla,Apartment,3150,4,3,2,4,1,12,1,Fully Furnished,East,1,1,1,1,1,18700000
Gagillapur,Villa,2176,4,3,2,0,0,2,2,Fully Furnished,North,1,1,1,1,0,15700000
Gagillapur,Villa,2377,4,3,2,0,1,3,2,Fully Furnished,North,1,1,1,1,0,17100000
Gagillapur,Villa,2635,4,3,2,0,0,1,2,Fully Furnished,North-East,1,1,1,1,0,19000000
Gagillapur,Villa,3951,4,3,2,0,1,3,2,Fully Furnished,West,1,1,1,1,0,28400000
Gagillapur,Villa,3283,4,3,2,0,1,3,2,Fully Furnished,North,1,1,1,1,0,23600000
Gagillapur,Villa,4566,4,3,2,0,0,2,2,Fully Furnished,East,1,1,1,1,0,32900000
Manikonda,Apartment,1841,3,2,2,4,1,12,1,Fully Furnished,West,1,1,1,1,1,12800000
Manikonda,Apartment,1449,2,1,2,4,7,10,1,Fully Furnished,North,1,1,1,1,1,10100000
Manikonda,Apartment,1316,2,1,2,4,1,12,1,Fully Furnished,East,1,1,1,1,1,9212000
Manikonda,Apartment,1446,2,1,2,4,1,7,1,Fully Furnished,East,1,1,1,1,1,10100000
Manikonda,Apartment,1296,2,1,2,4,2,10,1,Fully Furnished,East,1,1,1,1,1,9072000
Manikonda,Apartment,1932,3,2,2,4,6,12,1,Fully Furnished,East,1,1,1,1,1,13500000
Manikonda,Apartment,1874,3,2,2,4,4,5,1,Fully Furnished,West,1,1,1,1,1,13100000
Manikonda,Apartment,1676,3,2,2,4,19,20,1,Fully Furnished,East,1,1,1,1,1,11700000
Manikonda,Apartment,1551,2,1,2,4,5,15,1,Fully Furnished,South,1,1,1,1,1,10800000
Manikonda,Apartment,1927,3,2,2,4,6,12,1,Fully Furnished,North-East,1,1,1,1,1,13400000
Manikonda,Apartment,1926,3,2,2,4,4,10,1,Fully Furnished,North,1,1,1,1,1,13400000
Manikonda,Apartment,1732,3,2,2,4,3,7,1,Fully Furnished,North-West,1,1,1,1,1,12100000
Jubilee Hills,Apartment,3225,4,3,2,0,6,10,1,Fully Furnished,West,1,1,1,1,1,45100000
Bachupally,Apartment,1185,2,1,2,4,4,12,1,Semi-Furnished,North,1,0,1,1,1,6634999
Dammaiguda,Independent House,3200,3,2,2,4,1,3,1,Fully Furnished,North-West,1,0,1,1,0,26000000
Dammaiguda,Independent House,3200,3,2,2,4,1,2,1,Fully Furnished,East,1,1,1,1,0,26000000
Boduppal,Independent House,1200,2,1,2,4,0,2,1,Semi-Furnished,North-West,0,0,1,1,0,6000000
Amberpet,Independent Floor,1200,3,2,2,4,1,2,0,Semi-Furnished,East,0,0,1,1,0,7000000
Boduppal,Independent House,1200,2,1,2,4,0,2,1,Semi-Furnished,West,0,0,1,1,0,6000000
Kukatpally,Apartment,672,2,1,2,4,3,12,1,Semi-Furnished,East,1,0,1,1,1,3800000
Dammaiguda,Independent House,3200,3,2,2,4,1,3,1,Fully Furnished,South,1,0,1,1,0,26000000
Boduppal,Independent House,1200,2,1,2,4,0,2,1,Semi-Furnished,North,1,0,1,1,0,6000000
Old Bowenpally,Independent House,2800,5,4,2,4,0,2,1,Fully Furnished,South,1,1,1,1,0,20000000
Kukatpally,Apartment,672,2,1,2,4,3,12,1,Semi-Furnished,West,1,0,1,1,1,3800000
Sainikpuri,Independent House,2500,5,4,2,4,1,3,1,Fully Furnished,West,1,0,1,1,0,13500000
Kukatpally,Apartment,672,2,1,2,4,8,20,1,Semi-Furnished,West,0,0,1,1,1,3800000
Boduppal,Independent House,1200,2,1,2,4,1,2,1,Semi-Furnished,North-East,1,0,1,1,0,6000000
Dammaiguda,Independent House,3200,3,2,2,4,1,3,1,Fully Furnished,West,0,0,1,1,0,26000000
Old Bowenpally,Independent House,2800,5,4,2,4,0,1,1,Fully Furnished,North-East,1,1,1,1,0,20000000
Sainikpuri,Independent House,2500,5,4,2,4,1,2,1,Fully Furnished,North-East,0,1,1,1,0,13500000
Amberpet,Independent Floor,1200,3,2,2,4,0,1,0,Semi-Furnished,North,0,0,1,1,0,7000000
Dammaiguda,Independent House,3200,3,2,2,4,1,3,1,Fully Furnished,East,1,1,1,1,0,26000000
As Rao Nagar,Apartment,1004,2,1,2,4,9,10,1,Semi-Furnished,East,0,0,1,1,1,4400000
As Rao Nagar,Apartment,1004,2,1,2,4,1,12,1,Semi-Furnished,East,1,0,1,1,1,4400000
Kapra,Apartment,1430,3,2,2,4,5,10,1,Semi-Furnished,North,1,0,1,1,1,7200000
Chengicherla,Apartment,1200,2,1,2,4,9,20,1,Semi-Furnished,West,1,0,1,1,1,5200000
Adibatla,Apartment,1500,3,2,2,4,3,10,1,Semi-Furnished,West,1,0,1,1,1,7800000
Tellapur,Apartment,1260,2,1,2,4,3,15,1,Semi-Furnished,North,1,0,1,1,1,4200000
Kothapet,Apartment,940,2,1,2,4,1,20,1,Semi-Furnished,South,1,0,1,1,1,4700000
Rampally,Independent House,2200,2,1,2,4,1,3,1,Fully Furnished,East,1,0,1,1,0,9000000
Bairagiguda,Independent House,5600,7,6,2,4,0,1,1,Fully Furnished,South,0,1,1,1,0,26500000
Bairagiguda,Independent House,5400,7,6,2,4,1,3,1,Fully Furnished,West,0,1,1,1,0,23500000
Kompally,Apartment,1440,3,2,2,4,3,20,1,Fully Furnished,West,0,0,1,1,1,8000000
East Marredpally,Apartment,1475,3,2,2,4,9,12,1,Fully Furnished,East,1,1,1,1,1,16000000
East Marredpally,Apartment,1475,3,2,2,4,13,15,1,Fully Furnished,East,1,1,1,1,1,16000000
Bandlaguda Jagir,Independent House,1033,2,1,2,4,1,3,1,Fully Furnished,North,0,1,1,1,0,13000000
Boduppal,Independent House,1215,2,1,2,4,1,3,1,Fully Furnished,West,0,1,1,1,0,15000000
Isnapur,Apartment,940,2,1,2,4,3,12,1,Semi-Furnished,South,1,0,1,1,1,4237000
Shankarpalli,Apartment,940,2,1,2,4,9,15,1,Semi-Furnished,North-East,1,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,4,10,1,Semi-Furnished,North,0,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,5,10,1,Semi-Furnished,South,1,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,8,10,1,Semi-Furnished,West,0,0,1,1,1,4237000
Shankarpalli,Apartment,940,2,1,2,4,7,15,1,Semi-Furnished,West,0,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,1,15,1,Semi-Furnished,South,1,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,11,12,1,Semi-Furnished,West,1,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,7,12,1,Semi-Furnished,North,0,0,1,1,1,4237000
Shankarpalli,Apartment,940,2,1,2,4,6,10,1,Semi-Furnished,East,0,0,1,1,1,4190000
Isnapur,Apartment,940,2,1,2,4,19,24,1,Semi-Furnished,North,0,0,1,1,1,4237000
Isnapur,Apartment,940,2,1,2,4,2,20,1,Semi-Furnished,North-East,1,0,1,1,1,4237000
Muthangi,Apartment,940,2,1,2,4,1,12,1,Semi-Furnished,North-East,0,0,1,1,1,4237000
Rai Durg,Apartment,4983,4,3,2,0,1,12,1,Fully Furnished,South,1,1,1,1,1,66600000
Rai Durg,Apartment,6069,4,3,2,0,3,10,1,Fully Furnished,South,1,1,1,1,1,71900000
Rai Durg,Apartment,4955,4,3,2,0,1,12,1,Fully Furnished,North,1,1,1,1,1,58600000
Taramatipet,Villa,2500,3,2,2,0,1,2,2,Fully Furnished,North,1,1,1,1,0,16700000
Bacharam,Villa,2500,3,2,2,0,1,3,2,Fully Furnished,East,1,1,1,1,0,16700000
Dundigal,Apartment,1060,2,1,2,0,5,12,1,Semi-Furnished,West,1,0,1,1,1,4733000
Dundigal,Apartment,1500,3,2,2,0,9,20,1,Semi-Furnished,West,1,0,1,1,1,6698999
Nagaram,Independent House,1750,3,2,2,4,0,2,1,Semi-Furnished,West,1,0,1,1,0,7500000
Nagaram,Independent House,900,2,1,2,4,0,1,1,Semi-Furnished,North,1,0,1,1,0,4900000
Nagaram,Independent House,1750,2,1,2,0,1,2,1,Semi-Furnished,North,1,0,1,1,0,7000000
Nagaram,Independent House,1780,3,2,2,4,0,1,1,Semi-Furnished,North,0,0,1,1,0,6800000
Toli Chowki,Independent House,3600,4,3,2,4,1,2,1,Fully Furnished,South,0,0,1,1,0,65000000
Bacharam,Villa,3500,3,2,2,4,1,2,2,Fully Furnished,East,1,1,1,1,0,23500000
Kondapur,Apartment,2000,3,2,2,0,7,10,1,Fully Furnished,North,1,1,1,1,1,21000000
Kondapur,Apartment,1935,3,2,2,0,3,10,1,Fully Furnished,North-East,1,1,1,1,1,20300000
Kondapur,Apartment,2410,3,2,2,0,9,10,1,Fully Furnished,West,1,1,1,1,1,25300000
Kondapur,Apartment,2360,3,2,2,0,6,12,1,Fully Furnished,East,1,1,1,1,1,24700000
Kondapur,Apartment,2710,3,2,2,0,8,15,1,Fully Furnished,North,1,1,1,1,1,28400000
Kondapur,Apartment,2390,3,2,2,0,2,7,1,Fully Furnished,North-East,1,1,1,1,1,25000000
Kondapur,Apartment,2060,3,2,2,0,6,15,1,Fully Furnished,East,1,1,1,1,1,21600000
Madhapur,Apartment,1300,2,1,2,4,11,12,1,Fully Furnished,South,1,1,1,1,1,10000000
Kokapet,Apartment,3030,4,3,2,0,1,10,1,Fully Furnished,South,1,1,1,1,1,30300000
Puppalaguda,Apartment,5454,4,3,2,0,9,20,1,Fully Furnished,South,1,1,1,1,1,61000000
Boduppal,Apartment,1224,2,1,2,4,7,15,1,Semi-Furnished,North-East,0,0,1,1,1,6200000
Mallapur,Apartment,1636,3,2,2,4,7,10,1,Fully Furnished,North,1,1,1,1,1,8500000
Quthbullapur,Apartment,1125,2,1,2,4,2,12,1,Semi-Furnished,North-East,1,0,1,1,1,6200000
Bolarum,Apartment,1125,2,1,2,4,13,20,1,Semi-Furnished,South,0,0,1,1,1,6600000
Quthbullapur,Apartment,1125,2,1,2,4,1,7,1,Semi-Furnished,West,1,0,1,1,1,6200000
Serilingampally,Apartment,2070,3,2,2,4,4,15,1,Fully Furnished,East,1,1,1,1,1,21500000
Tarnaka,Independent House,4500,8,7,2,4,0,2,1,Fully Furnished,North,0,1,1,1,0,30000000
Banjara Hills,Apartment,3600,4,3,2,4,14,15,1,Fully Furnished,South,1,1,1,1,1,48000000
Himayat Nagar,Apartment,2415,3,2,2,4,15,20,1,Fully Furnished,West,1,1,1,1,1,32000000
Kavadiguda,Independent House,4800,8,7,2,4,1,3,1,Fully Furnished,North,1,0,1,1,0,40600000
Himayat Nagar,Independent House,4000,8,7,2,4,1,3,1,Fully Furnished,East,1,0,1,1,0,40000000
Habsiguda,Independent House,6000,6,5,2,4,1,2,1,Fully Furnished,South,0,1,1,1,0,48000000
Ameenpur,Apartment,1100,2,1,2,4,6,12,1,Semi-Furnished,West,0,0,1,1,1,6380000
Bachupally,Villa,3075,4,3,2,0,1,3,2,Fully Furnished,West,1,1,1,1,0,38400000
Bachupally,Villa,3865,4,3,2,0,1,2,2,Fully Furnished,North,1,1,1,1,0,48300000
Narsingi,Apartment,1737,3,2,2,0,2,5,1,Fully Furnished,North,1,1,1,1,1,10700000
Manchirevula,Apartment,1557,3,2,2,0,5,10,1,Fully Furnished,West,1,1,1,1,1,9400000
Bachupally,Apartment,1700,3,2,2,0,5,12,1,Fully Furnished,West,1,1,1,1,1,12200000
Narsingi,Apartment,1431,3,2,2,0,5,10,1,Fully Furnished,North,1,1,1,1,1,8729000
Yapral,Villa,3200,5,4,2,4,0,2,2,Fully Furnished,North-East,1,1,1,1,0,23500000
Kapra,Villa,2300,3,2,2,4,1,2,2,Fully Furnished,West,1,1,1,1,0,12000000
Bolarum,Apartment,1180,2,1,2,4,3,10,1,Semi-Furnished,North-East,0,0,1,1,1,5428000
Bolarum,Apartment,1165,2,1,2,4,4,15,1,Semi-Furnished,North,0,0,1,1,1,5242000
Sainikpuri,Independent House,4800,5,4,2,4,1,2,1,Fully Furnished,North-West,0,1,1,1,0,18000000
Suraram,Apartment,1240,2,1,2,0,10,24,1,Semi-Furnished,North-East,1,0,1,1,1,6198000
Suraram,Apartment,1550,3,2,2,0,1,10,1,Semi-Furnished,West,0,0,1,1,1,7748000
Kollur,Apartment,1370,2,1,2,0,3,12,1,Semi-Furnished,East,0,0,1,1,1,7534999
Kollur,Apartment,2020,3,2,2,0,7,12,1,Fully Furnished,North-East,1,1,1,1,1,11100000
Kollur,Apartment,2210,3,2,2,0,5,10,1,Fully Furnished,North,1,1,1,1,1,12100000
Kollur,Apartment,1835,3,2,2,0,1,7,1,Fully Furnished,East,1,1,1,1,1,10000000
Kondapur,Apartment,2005,3,2,2,0,1,15,1,Fully Furnished,North,1,1,1,1,1,17000000
Kondapur,Apartment,1945,3,2,2,0,1,10,1,Fully Furnished,North-West,1,1,1,1,1,16500000
Puppalaguda,Apartment,1620,3,2,2,0,6,12,1,Fully Furnished,East,1,1,1,1,1,10000000
Puppalaguda,Apartment,1320,2,1,2,0,8,15,1,Fully Furnished,North,1,1,1,1,1,8580000
Puppalaguda,Apartment,1295,2,1,2,0,1,20,1,Fully Furnished,South,1,1,1,1,1,8417000
Puppalaguda,Apartment,1241,2,1,2,0,7,24,1,Semi-Furnished,South,1,0,1,1,1,7688000
Manikonda,Apartment,1240,2,1,2,0,5,15,1,Fully Furnished,West,1,1,1,1,1,8059999
Puppalaguda,Apartment,1575,3,2,2,0,7,15,1,Fully Furnished,East,1,1,1,1,1,9765000
Manikonda,Apartment,1300,2,1,2,0,2,5,1,Fully Furnished,East,1,1,1,1,1,8450000
Manikonda,Apartment,1190,2,1,2,0,5,12,1,Semi-Furnished,North,0,0,1,1,1,7734999
Kokapet,Villa,3300,4,3,2,4,1,2,2,Fully Furnished,West,1,1,1,1,0,120000000
Aminpur,Apartment,1210,2,1,2,0,5,10,1,Semi-Furnished,North-West,1,0,1,1,1,5082000
Attapur,Apartment,1560,3,2,2,4,6,7,1,Fully Furnished,East,1,1,1,1,1,9700000
Kokapet,Apartment,2048,3,2,2,4,5,20,1,Fully Furnished,South,1,1,1,1,1,23200000
Manikonda,Apartment,1400,3,2,2,4,10,12,1,Fully Furnished,East,0,0,1,1,1,8000000
Puppalaguda,Apartment,1075,2,1,2,4,5,15,1,Semi-Furnished,West,0,0,1,1,1,6800000
Kondapur,Apartment,1500,3,2,2,0,1,12,1,Fully Furnished,West,1,1,1,1,1,9750000
Kondapur,Apartment,1750,3,2,2,4,5,12,1,Fully Furnished,South,1,1,1,1,1,11000000
Vanasthalipuram,Apartment,1170,2,1,2,4,10,12,1,Semi-Furnished,North-East,0,0,1,1,1,5900000
Uppal Kalan,Apartment,1500,3,2,2,0,4,20,1,Fully Furnished,North,1,1,1,1,1,8250000
Kothapet,Apartment,970,2,1,2,4,3,5,1,Semi-Furnished,North-West,0,0,1,1,1,6000000
Tukkuguda,Villa,4250,4,3,2,4,1,3,2,Fully Furnished,North-East,1,1,1,1,0,40300000
Attapur,Villa,3379,4,3,2,4,0,2,2,Fully Furnished,North,1,1,1,1,0,48900000
Hayathnagar,Independent House,2400,3,2,2,4,1,2,1,Fully Furnished,South,0,0,1,1,0,16000000
Pocharam,Apartment,1850,3,2,2,4,4,12,1,Fully Furnished,North,1,1,1,1,1,9620000
Rajendra Nagar,Apartment,1265,2,1,2,4,7,15,1,Semi-Furnished,North,1,0,1,1,1,6900000
Peerzadiguda,Apartment,1370,3,2,2,4,12,20,1,Semi-Furnished,North-West,0,0,1,1,1,6500000
Peerzadiguda,Apartment,1110,2,1,2,4,1,12,1,Semi-Furnished,South,1,0,1,1,1,5000000
Peerzadiguda,Apartment,1351,3,2,2,4,3,12,1,Semi-Furnished,East,0,0,1,1,1,6400000
Peerzadiguda,Apartment,1385,3,2,2,4,12,20,1,Semi-Furnished,West,1,0,1,1,1,6500000
Peerzadiguda,Apartment,1594,3,2,2,4,1,12,1,Semi-Furnished,West,1,0,1,1,1,7500000
Kukatpally,Apartment,1050,2,1,2,4,11,15,1,Semi-Furnished,West,0,0,1,1,1,5500000
Bowenpally,Apartment,1640,3,2,2,0,2,10,1,Fully Furnished,North,1,1,1,1,1,10000000
Kondapur,Apartment,1615,3,2,2,0,2,5,1,Fully Furnished,North-East,1,1,1,1,1,12500000
Old Bowenpally,Apartment,875,1,1,1,0,1,15,1,Semi-Furnished,West,1,0,1,1,1,5475000
Kukatpally,Apartment,1661,3,2,2,0,13,15,1,Fully Furnished,North,1,1,1,1,1,11400000
Kukatpally,Apartment,1575,3,2,2,0,2,20,1,Fully Furnished,South,1,1,1,1,1,11900000
Kukatpally,Apartment,1300,2,1,2,4,7,10,1,Semi-Furnished,West,0,0,1,1,1,7700000
Patancheru,Apartment,1655,3,2,2,0,5,7,1,Fully Furnished,East,1,1,1,1,1,8438000
Patancheru,Apartment,1300,2,1,2,0,8,10,1,Semi-Furnished,West,0,0,1,1,1,6628000
Kapra,Apartment,1200,2,1,2,4,5,15,1,Semi-Furnished,East,1,0,1,1,1,6700000
Suchitra,Independent House,4000,7,6,2,0,0,1,1,Fully Furnished,East,0,1,1,1,0,20000000
Kondapur,Apartment,1585,3,2,2,0,5,12,1,Fully Furnished,East,1,1,1,1,1,13900000
Kapra,Apartment,1600,3,2,2,4,3,15,1,Fully Furnished,East,1,1,1,1,1,8900000
Lb Nagar,Apartment,1170,2,1,2,4,16,24,1,Semi-Furnished,East,1,0,1,1,1,6500000
Kothapet,Apartment,1610,3,2,2,4,1,7,1,Fully Furnished,North,1,1,1,1,1,10500000
Dilsukhnagar,Apartment,1140,2,1,2,4,8,15,1,Semi-Furnished,East,1,0,1,1,1,5900000
Lb Nagar,Apartment,810,2,1,2,4,5,20,1,Semi-Furnished,East,1,0,1,1,1,4900000
Kothapet,Apartment,2100,3,2,2,4,7,10,1,Fully Furnished,North-East,1,1,1,1,1,13000000
Quthbullapur,Independent House,3000,5,4,2,4,0,1,1,Fully Furnished,West,0,1,1,1,0,17500000
Kokapet,Villa,4200,4,3,2,4,0,1,2,Fully Furnished,West,1,1,1,1,0,79800000
Bachupally,Apartment,1422,3,2,2,0,1,7,1,Semi-Furnished,North,0,0,1,1,1,7820999
Bachupally,Apartment,1520,3,2,2,0,4,12,1,Fully Furnished,East,1,1,1,1,1,8510000
Bachupally,Apartment,1440,3,2,2,0,13,20,1,Fully Furnished,West,1,1,1,1,1,8062000
Bachupally,Apartment,1185,2,1,2,0,17,20,1,Semi-Furnished,South,1,0,1,1,1,6634000
Bachupally,Apartment,1160,2,1,2,0,5,7,1,Semi-Furnished,West,0,0,1,1,1,6494000
Bachupally,Apartment,1150,2,1,2,4,12,20,1,Semi-Furnished,West,1,0,1,1,1,6438000
Bachupally,Apartment,1385,3,2,2,0,4,12,1,Semi-Furnished,East,0,0,1,1,1,7617000
Mallampet,Apartment,1460,2,1,2,0,5,12,1,Semi-Furnished,East,1,0,1,1,1,5986000
Mallampet,Apartment,1885,3,2,2,0,4,7,1,Fully Furnished,North-East,1,1,1,1,1,10100000
Mallampet,Apartment,1460,2,1,2,0,5,10,1,Semi-Furnished,West,0,0,1,1,1,7736000
Puppalaguda,Apartment,2490,3,2,2,0,7,15,1,Fully Furnished,North-West,1,1,1,1,1,24600000
